date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:45:03	86/86	---M--	200	added ('OK')	image/gif	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/styles/images/colorpicker_indic.gif	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/styles/images/colorpicker_indic.gif	(from https://fazar.bitbucket.io/styles/lib/colorpicker.css)
12:45:04	532/532	---M--	200	added ('OK')	image/png	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/styles/images/colorpicker_hex.png	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/styles/images/colorpicker_hex.png	(from https://fazar.bitbucket.io/styles/lib/colorpicker.css)
12:45:04	1066/1066	---M--	200	added ('OK')	image/png	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/styles/images/colorpicker_rgb_r.png	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/styles/images/colorpicker_rgb_r.png	(from https://fazar.bitbucket.io/styles/lib/colorpicker.css)
12:45:05	1069/1069	---M--	200	added ('OK')	image/png	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/styles/images/colorpicker_rgb_g.png	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/styles/images/colorpicker_rgb_g.png	(from https://fazar.bitbucket.io/styles/lib/colorpicker.css)
12:45:05	970/970	---M--	200	added ('OK')	image/png	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/styles/images/colorpicker_rgb_b.png	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/styles/images/colorpicker_rgb_b.png	(from https://fazar.bitbucket.io/styles/lib/colorpicker.css)
12:45:06	1012/1012	---M--	200	added ('OK')	image/png	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/styles/images/colorpicker_hsb_h.png	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/styles/images/colorpicker_hsb_h.png	(from https://fazar.bitbucket.io/styles/lib/colorpicker.css)
12:45:06	1171/1171	---M--	200	added ('OK')	image/png	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/styles/images/colorpicker_hsb_s.png	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/styles/images/colorpicker_hsb_s.png	(from https://fazar.bitbucket.io/styles/lib/colorpicker.css)
12:45:06	970/970	---M--	200	added ('OK')	image/png	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/styles/images/colorpicker_hsb_b.png	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/styles/images/colorpicker_hsb_b.png	(from https://fazar.bitbucket.io/styles/lib/colorpicker.css)
12:45:07	984/984	---M--	200	added ('OK')	image/png	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/styles/images/colorpicker_submit.png	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/styles/images/colorpicker_submit.png	(from https://fazar.bitbucket.io/styles/lib/colorpicker.css)
12:45:07	54568/54568	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2022%20Jun%202016%2020:04:01%20GMT	https://cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.eot	C:/My%20Web%20Sites/ark/cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.eot	(from https://cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.min.css)
12:45:08	54568/54568	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2022%20Jun%202016%2020:04:01%20GMT	https://cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.eot?	C:/My%20Web%20Sites/ark/cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-iconsd41d.eot	(from https://cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.min.css)
12:45:09	32020/32020	---MCZ	200	added ('OK')	application/font-woff	date:Wed,%2022%20Jun%202016%2020:04:01%20GMT	https://cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.woff	C:/My%20Web%20Sites/ark/cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.woff	(from https://cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.min.css)
12:45:09	56976/56976	---MCZ	200	added ('OK')	application/font-sfnt	date:Wed,%2022%20Jun%202016%2020:04:01%20GMT	https://cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.ttf	C:/My%20Web%20Sites/ark/cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.ttf	(from https://cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.min.css)
12:45:11	150535/150535	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2022%20Jun%202016%2020:04:01%20GMT	https://cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.svg	C:/My%20Web%20Sites/ark/cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.svg	(from https://cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.min.css)
12:46:07	937458/937458	UR-M--	200	added ('OK')	image/jpeg	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/img/personal-desk.jpg	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/img/personal-desk.jpg	(from https://fazar.bitbucket.io/styles/site.min.css)
12:46:09	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Jul%202017%2011:46:09%20GMT	https://cdnjs.cloudflare.com/robots.txt		(from https://cdnjs.cloudflare.com/ajax/libs/foundicons/3.0.0/foundation-icons.min.css)
